file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
just-d95b79cf,0.0,0.624,corpus,-56.913589969758064,-62.8957462310791,4.495316396019218,20.46421905612372
the-bbccdf2e,0.0,0.504,corpus,-53.2295263671875,-53.938541412353516,4.240727081408978,19.992756646917492
egg-4fa6024f,0.0,0.576,corpus,-50.15362338362069,-49.57416915893555,3.9966733380961994,21.519466230764355
sofa-68e0dce5,0.0,0.72,corpus,-51.98902384440104,-52.616676330566406,3.963093090987004,19.9236714687071
violin-06384a70,0.0,0.84,corpus,-46.80998302641369,-47.165323893229164,3.5516376395440976,20.845674289786444
this-and-that-are-for-my-mother-88bb72fa,0.0,1.68,corpus,-49.58131626674107,-49.42297077178955,3.4850531068344432,20.60793276900769
my-father-drives-fast-to-the-park-64dfd3d2,0.0,2.208,corpus,-48.61411640978507,-49.703547933827274,3.086709643440594,24.385733505934006
love-9f2feb0f,0.0,0.648,corpus,-48.981516676682695,-48.01421356201172,2.962767441567017,21.604573787476667
change-7550b672,0.0,0.84,corpus,-47.697730654761905,-47.590168952941895,2.9097315567252666,22.13579191477026
this-c2543fff,0.0,0.672,corpus,-53.548551189365675,-54.54315694173177,2.828236061751841,19.05734576845921
game-cda051c9,0.0,0.696,corpus,-44.61962193080357,-45.52099482218424,2.8156990095261394,18.462870966994963
noise-9424ac79,0.0,0.792,corpus,-49.315293710443036,-48.57262929280599,2.8076158612574527,20.72641232822537
late-5d6200f8,0.0,0.576,corpus,-51.829909752155174,-52.017714182535805,2.6644736380264713,22.09685094134916
the-men-get-eggs-68c9bc44,0.0,1.32,corpus,-46.98013953006629,-48.68867562033913,2.638029991877982,22.562900527684597
unusual-7cdf152a,0.0,0.888,corpus,-48.97953607794944,-47.87712287902832,2.6295324345286684,21.39232265536007
car-9e32521d,0.0,0.648,corpus,-48.75900691105769,-48.317806243896484,2.537984669696249,21.412401975952807
deer-f6f4ab79,0.0,0.6,corpus,-51.61107177734375,-51.226182301839195,2.513568213526314,18.13867040557765
day-a2620cbc,0.0,0.576,corpus,-51.164352943157326,-51.06640434265137,2.4832156486704635,19.419555685723054
voice-47ef6589,0.0,0.768,corpus,-48.84073470474838,-49.47070439656576,2.4763170383867275,19.339681585364616
above-9fbb3974,0.0,0.696,corpus,-50.72625558035714,-52.12125873565674,2.4695313081693437,22.828811081675582
glasses-ba22ef34,0.0,0.888,corpus,-51.02738764044944,-51.571343104044594,2.444910313939816,21.10608782471649
i-think-we-should-thank-the-three-boys-98dcfa63,0.0,1.992,corpus,-51.98735376099246,-52.62107328935103,2.444910313939816,21.22958820219572
these-81b781d3,0.0,0.72,corpus,-50.74303181966146,-50.05582809448242,2.4449097734651124,21.583585540715674
saw-29596a43,0.0,0.648,corpus,-47.50677959735577,-47.45254325866699,2.389886191066871,17.821002795820597
hair-bc70b051,0.0,0.6,corpus,-46.0165283203125,-45.13471984863281,2.372370080000678,21.594596341282394
red-rabbits-run-along-roads-542284a6,0.0,2.088,corpus,-48.555836946770334,-49.5052188873291,2.3658055310564117,14.211634631092886
cold-424fa439,0.0,0.696,corpus,-49.14771205357143,-48.693848609924316,2.365804393252992,21.515630097669845
they-f1fdd46d,0.0,0.576,corpus,-46.46694420123922,-45.00859069824219,2.3520602046590806,22.873199165739813
yesterday-the-young-boy-said-yes-59ccb091,0.0,2.256,corpus,-50.9245108545354,-51.55055446624756,2.3329612846485075,21.08888050183043
yes-fb360f9c,0.0,0.72,corpus,-47.79040188259549,-47.69227727254232,2.3329600029393287,18.41181517231612
good-fc19318d,0.0,0.576,corpus,-56.2945346174569,-59.11322911580404,2.2992361130391243,21.180347298136642
open-5fc7e38b,0.0,0.648,corpus,-48.99877554086538,-48.10269260406494,2.297286666211484,19.73484441259863
sky-5737ef08,0.0,0.72,corpus,-52.42871771918403,-57.52612050374349,2.2930840959074943,19.36890624806322
my-3ece1471,0.0,0.6,corpus,-54.59340006510417,-53.18075370788574,2.2930837537081046,19.925591672460516
home-e83249bd,0.0,0.624,corpus,-52.08170047883065,-51.411478678385414,2.2922986587887206,22.007091709873087
come-d88d473b,0.0,0.6,corpus,-47.52486979166667,-45.83467356363932,2.2922978788618398,19.352242484366684
sing-f9bef9c2,0.0,0.672,corpus,-48.058867041744406,-46.63178380330404,2.27456820184456,17.810023899071005
the-expert-explains-the-exam-example-451a2fbc,0.0,2.4,corpus,-51.06454264322917,-52.48190356839088,2.2615049545739643,22.566588909518668
they-live-in-a-house-outside-town-e9e4806d,0.0,2.112,corpus,-49.71939795616114,-51.69853210449219,2.24657462533412,18.649322731464963
pen-31a841af,0.0,0.624,corpus,-49.485249180947584,-49.0854606628418,2.2130693978203806,20.20892503453332
men-6711b9eb,0.0,0.624,corpus,-49.37879205519153,-48.559251149495445,2.2130681487956885,21.275370574412726
ear-ddbc6188,0.0,0.552,corpus,-48.002001953125,-46.416425704956055,2.2067562306585167,21.490039575215988
see-3d637fc6,0.0,0.648,corpus,-49.18420597956731,-48.64452362060547,2.1983988338346157,17.198901688662822
book-e7e694c5,0.0,0.624,corpus,-53.946470199092744,-53.3541514078776,2.1951736621544886,17.951754968387426
ball-8bec0406,0.0,0.648,corpus,-42.86818284254808,-42.94056828816732,2.092918547949172,21.25234912994108
tell-47b8015d,0.0,0.624,corpus,-46.125555223034276,-44.97198232014974,2.077490117788206,20.947638439107703
example-c3499c27,0.0,0.84,corpus,-48.83807082403274,-51.05688428878784,2.077490117788206,20.65770051393296
she-4a240ec0,0.0,0.624,corpus,-52.32014711441532,-51.96411323547363,2.074489204671224,22.072406184220924
man-8175e3c8,0.0,0.672,corpus,-47.879336229011194,-47.06921132405599,2.0619674434346904,19.74740474238987
